pre_path,post_path,mapping_status,mapping_source,site_section,page_group,content_group,page_type,page_name,xlsx_notes,pre_in_crawl,pre_word_count,pre_indexable,pre_title,pre_h1,pre_has_text,pre_has_source,pre_has_embedding,post_in_crawl,post_word_count,post_indexable,post_title,post_h1,post_has_text,post_has_source,post_has_embedding
/vacation-destinations/north-america/canada/british-columbia/okanagan,/destinations/okanagan,CHANGED,XLSX,Destinations,Destinations,Destinations,Individual Destination,Okanagan,,TRUE,,Indexable,Lake Okanagan Valley Vacation Rentals & Wine Tours | AMA Travel,Okanagan,TRUE,TRUE,TRUE,TRUE,3772,Indexable,"Okanagan, British Columbia","Okanagan, British Columbia",TRUE,TRUE,TRUE
/vacation-destinations/north-america/us/nevada/las-vegas,/destinations/las-vegas,CHANGED,XLSX,Destinations,Destinations,Destinations,Individual Destination,Las Vegas,,TRUE,,Indexable,"Las Vegas Vacations - Things to do, Cheap Flights & Hotels | AMA Travel",Las Vegas,TRUE,TRUE,TRUE,TRUE,4295,Indexable,"Las Vegas, Nevada","Las Vegas, Nevada",TRUE,TRUE,TRUE
/articles/mama-juana-dominican-republic-drink-recipe,/articles/mama-juana-dominican-republic-drink-recipe,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,"Learn About Mama Juana, the Dominican Republic Drink | AMA Travel","Mama Juana: The Dominican Republic's Cure-All, Aphrodisiac Drink",TRUE,TRUE,TRUE,TRUE,2019,Indexable,"Learn About Mama Juana, the Dominican Republic Drink","Mama Juana: The Dominican Republic's Cure-All, Aphrodisiac Drink",TRUE,TRUE,TRUE
/cruises/expedition/lindblad,/cruises/lindblad,CHANGED,XLSX,Cruises,Cruises,Cruises,Supplier,Cruise Supplier (National Geographic-Lindblad Expeditions),,TRUE,,Indexable,Lindblad Expedition Cruise | AMA Travel,Lindblad Expedition Cruise,TRUE,TRUE,TRUE,TRUE,1744,Indexable,Book Lindblad Expeditions with AMA Travel,National Geographic-Lindblad Expeditions,TRUE,TRUE,TRUE
/vacation-destinations/north-america/mexico/loscabos,/destinations/los-cabos,CHANGED,XLSX,Destinations,Destinations,Destinations,Individual Destination,Los Cabos,,TRUE,,Indexable,Los Cabos Vacation Packages and Hotel Deals | AMA Travel,Los Cabos Travel Guide,TRUE,TRUE,TRUE,TRUE,4520,Indexable,"Los Cabos, Mexico","Los Cabos, Mexico",TRUE,TRUE,TRUE
/vacation-packages/travel-styles/luxury,/vacation-packages/luxury,CHANGED,XLSX,Vacation Packages,Travel Styles,Vacation Packages,Collection Page,Vacation Packages (Luxury),,TRUE,,Indexable,Luxury Travel - Vacation Home Rentals & Packages | AMA Travel,Luxury Vacations,TRUE,TRUE,TRUE,TRUE,1466,Indexable,Luxury Travel Packages & Planning,Plan Your Perfect Luxury Vacation,TRUE,TRUE,FALSE
/articles/luxury-trips-in-atlantic-canada,/articles/luxury-trips-in-atlantic-canada,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,Luxury Travel in Atlantic Canada | AMA Travel,Surprisingly Luxurious Trips in Atlantic Canada,TRUE,TRUE,TRUE,TRUE,2585,Indexable,Luxury Travel in Atlantic Canada,Surprisingly Luxurious Trips in Atlantic Canada,TRUE,TRUE,TRUE
/articles/machu-picchu-inca-trail,/articles/machu-picchu-inca-trail,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,Machu Picchu and the Inca Trail | AMA Travel,A Step-by-Step Guide to Machu Picchu and the Inca Trail,TRUE,TRUE,TRUE,TRUE,1376,Indexable,Machu Picchu and the Inca Trail,A Step-by-Step Guide to Machu Picchu and the Inca Trail,TRUE,TRUE,TRUE
/hotels/marriott,/hotels/marriott,SAME,XLSX,Hotels,Hotels,Hotels,Supplier,Hotel Supplier (Marriott),,TRUE,,Indexable,Marriott Hotels | AMA Travel,,TRUE,TRUE,TRUE,TRUE,1243,Indexable,Book Marriott Hotels with AMA Travel,Marriott Hotels,TRUE,TRUE,TRUE
/vacation-destinations/north-america/us/hawaii/maui,/destinations/maui,CHANGED,XLSX,Destinations,Destinations,Destinations,Individual Destination,Maui,,TRUE,,Indexable,"Maui Vacation Rentals, Resorts & All Inclusive Packages | AMA Travel",Maui,TRUE,TRUE,TRUE,TRUE,4156,Indexable,"Maui, Hawaii","Maui, Hawaii",TRUE,TRUE,TRUE
/luggage-and-accessories,/luggage-and-accessories,SAME,XLSX,General Top Level,Main,General,Landing Page,Luggage/Accessories,,TRUE,,Indexable,Member Discount Travel Luggage & Accessories | AMA Travel,Luggage & Travel Accessories,TRUE,TRUE,TRUE,TRUE,576,Indexable,Samsonite Luggage Discounts & Accessories for AMA Members,Luggage & Travel Accessories,TRUE,TRUE,TRUE
/articles/minors-travelling-to-mexico,/articles/minors-travelling-to-mexico,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,Minors Travelling to Mexico | AMA Travel,Minors Travelling to Mexico,TRUE,TRUE,TRUE,FALSE,,,,,FALSE,FALSE,TRUE
/vacation-destinations/caribbean/jamaica/montego-bay-negril,/destinations/montego-bay-negril,CHANGED,XLSX,Destinations,Destinations,Destinations,Individual Destination,Montego Bay,,TRUE,,Indexable,"Montego Bay All Inclusive Resorts, Hotels & Things to do | AMA Travel",Montego Bay & Negril Beach,TRUE,TRUE,TRUE,FALSE,,,,,FALSE,FALSE,FALSE
/articles/spain-must-try-foods,/articles/spain-must-try-foods,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,Must-Try Foodie Experiences in Spain,Must-Try Foodie Experiences in Spain,TRUE,TRUE,TRUE,TRUE,2395,Indexable,Must-Try Foodie Experiences in Spain,Must-Try Foodie Experiences in Spain,TRUE,TRUE,TRUE
/articles/my-disney-experience-app,/articles/my-disney-experience-app,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,My Disney Experience App’s 10 Most Useful Features | AMA Travel,The My Disney Experience App’s 10 Most Useful Features,TRUE,TRUE,TRUE,TRUE,1334,Indexable,My Disney Experience App’s 10 Most Useful Features,The My Disney Experience App’s 10 Most Useful Features,TRUE,TRUE,TRUE
/vacation-packages/rocky-mountain-winter/nakiska-ski-resort,/vacation-packages/rocky-mountain-winter/nakiska-ski-resort,SAME,XLSX,Vacation Packages,Rocky Mountain - Seasons,Hotels,Supplier,Ski Resort Hotel Supplier (Nakiska),,TRUE,,Indexable,Nakiska Ski Area | AMA Travel,Members Ski for Less at Nakiska Ski Area,TRUE,TRUE,TRUE,TRUE,1726,Indexable,AMA Travel Website,Nakiska Ski Area,TRUE,TRUE,FALSE
/articles/make-your-own-ireland-tour,/articles/make-your-own-ireland-tour,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,Need Things to Do in Ireland? Make Your Own Themed Travel Tour! | AMA Travel,There's a Tour of Every Interest in Ireland!,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE
/cruises/ocean/norwegian-cruise-line,/cruises/norwegian-cruise-line,CHANGED,XLSX,Cruises,Cruises,Cruises,Supplier,Cruise Supplier (Norwegian Cruise Line),,TRUE,,Indexable,Norwegian Cruise Line | AMA Travel,,TRUE,TRUE,TRUE,TRUE,1861,Indexable,Book Norwegian Cruise Line with AMA Travel,Norwegian Cruise Line®,TRUE,TRUE,TRUE
/cruises/ocean,/cruises/ocean,SAME,XLSX,Cruises,Cruises,Cruises,Collection Page,Ocean Cruise Page,,TRUE,,Indexable,Ocean Cruise Line Vacation Packages & Deals | AMA Travel,Ocean Cruising with AMA Travel,TRUE,TRUE,TRUE,TRUE,2798,Indexable,Explore Ocean Cruises,Sail the World on an Ocean Cruise,TRUE,TRUE,TRUE
/cruises/luxury-small-ship/oceania,/cruises/oceania,CHANGED,XLSX,Cruises,Cruises,Cruises,Supplier,Cruise Supplier (Oceania),,TRUE,,Indexable,Oceania Ocean Cruises l AMA Travel,,TRUE,TRUE,TRUE,TRUE,2435,Indexable,Book Oceania Cruises with AMA Travel,Oceania Cruises®,TRUE,TRUE,TRUE
